Video URL;Title;Brief Description;Date uploaded;Member Only;Collection;Resource Type;Bone;Cardiovascular;Careers;Coding & HRGs;Diagnostics;Educational;Endocrinology;Equipment;Gastro;Haematology;Infection;Lung;Management;Management and Workforce;Molecular Radiotherapy;Neurology;Oncology;Paediatrics;PET and PET-CT;Physics – dosimetry;Physics – imaging science;Physics – radiation protection;Radiopharmaceutical Development;Radiopharmacy;Renal;Therapeutic;Thyroid;Training;Working in NM
https://www.youtube.com/watch?v=S4fBE1bUaNE;CCK2-Based Theragnostics: Insights from Prof. Irene Virgolini;"Join Prof. Irene Virgolini from the Medical University of Innsbruck as she explores the latest developments in CCK2-based theragnostics.

This presentation was recorded during the BNMS Spring Meeting 2025 in Glasgow, where leading experts gathered to discuss the expanding role of nuclear medicine in cancer diagnosis, treatment planning, and personalised patient care.

This session is particularly valuable for professionals working in oncology, nuclear medicine, theragnostics, and multidisciplinary cancer management.";11-Dec-25;No;Events;Videos;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
https://www.youtube.com/watch?v=pjuXz04JBeY&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z;What Treating Physicians Expect from Nuclear Medicine — Prof. Anthony Chalmers;"Join Prof. Anthony Chalmers from University of Glasgow,  as he shares an oncologist’s perspective on what treating physicians expect from Nuclear Medicine.
This talk was recorded during the Spring Meeting 2025 in Glasgow, where leading experts gathered to discuss the evolving role of NM in cancer diagnosis, treatment planning, and patient care.";  2 Dec 2025;No;Events;Videos;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
https://www.youtube.com/watch?v=P7cO0QvbiQw&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=3;Novel Theragnostic Imaging Agents in Brain Tumours | Dr David Lilburn | BNMS Spring Meeting 2025;"Dr David Lilburn from King's College London presents on Novel Theragnostic Imaging Agents in Brain Tumours at the BNMS Spring Meeting 2025 in Glasgow.

In this talk, Dr Lilburn explores the latest advances in theragnostic imaging, highlighting innovative agents that combine diagnostic and therapeutic capabilities for brain tumour management. Learn about cutting-edge research, clinical applications, and the future of personalised imaging in neuro-oncology.
";25-Nov-25;No;Events;Videos;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
https://www.youtube.com/watch?v=hR0QQj_kABY&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=4;Spring Meeting 2025 Poster Highlights: Robin McCade Interview | BNMS Insights;"Join Mariana Pinto (Belfast Health and Social Care Trust) as she sits down with Robin McCade (Glasgow Royal Infirmary) to discuss his expectations and highlights to be presented during the BNMS Spring Meeting 2025 in Glasgow.
In this interview, Robin shares his insights on the meeting, key points from the poster presentations, and why you should attend future BNMS events.";Nov-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://www.youtube.com/watch?v=ZbvL31MQRyw&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=5;What is the Best Tracer for Molecular Brain Tumor Imaging? | Prof. Francesco Fraioli | BNMS 2025;"Join Prof. Francesco Fraioli from University College Hospital at the Spring Meeting 2025 in Glasgow as he delves into the cutting-edge advancements in molecular brain tumor imaging. In this session, Prof. Fraioli highlights the tracers that offer the most precise insights for diagnosis, treatment monitoring, and therapy planning.

Don’t forget to like, comment, and subscribe for more updates from leading experts in nuclear medicine and molecular imaging!"; 19 Nov 2025;No;Events;Videos;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
https://www.youtube.com/watch?v=nIzgglyaLa8&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=6;Beyond 177Lu PSMA: Alpha and Combination Treatments – Dr Partha Choudhary | BNMS Spring Meeting 2025;"Join Dr Partha Choudhary from the Rajiv Gandhi Cancer Institute and Research Centre as he explores the evolving landscape of 177Lu PSMA therapies, delving into alpha and combination treatments that are shaping the future of nuclear medicine.

Recorded at the BNMS Spring Meeting 2025 in Glasgow, this insightful presentation offers:

Practical guidance on implementing emerging therapies
Clinical perspectives from real-world practice
Service development insights to advance patient care";5/11/25;No;Events;Videos;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
https://www.youtube.com/watch?v=DnaZd1Q3f04&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=6;Delivering a Radiolabelled PSMA Therapy Service: A UK Perspective | Dr Stefan Voo;Join Dr Stefan Voo from University College Hospital as he explores the delivery of a radiolabelled PSMA therapy service in the UK. Recorded at the BNMS Spring Meeting 2025 in Glasgow, this presentation provides practical guidance, service implementation insights, and clinical perspectives to support advancements in nuclear medicine practice.;Oct-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
https://www.youtube.com/watch?v=V_8G5I2qLOM&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=7;Inspiring Journey into Nuclear Medicine | Elizabeth Comber Interview | BNMS Spring Meeting 2025;At the BNMS Spring Meeting 2025, we had the pleasure of speaking with Elizabeth Comber, Technologist at Coventry and Warwickshire Partnership NHS Trust, about her journey into nuclear medicine.; 17 Nov 2025;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://www.youtube.com/watch?v=8icvtKTKlys&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=8;Carolina Rodrigues: Journey into Nuclear Medicine | BNMS Spring Meeting 2025;At the Spring Meeting 2025, we had the pleasure of sitting down with Carolina Rodrigues, Technologist at Imperial College Healthcare NHS Trust, to hear about her inspiring journey into nuclear medicine.; 3 Nov 2025 ;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://www.youtube.com/watch?v=OvWa7OtF0MM&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=9;Spring Meeting 2025 | PET vs. SPECT: Technical & Business Planning Insights with Giorgio Testanera;"Join us for highlights from the BNMS Spring Meeting 2025 in Glasgow, where Mr Giorgio Testanera, Clinical and Research PET Service Manager at King's College London and Guy's and St Thomas' PET Centre, shares his expertise on the ""Technical and business planning aspects of PET vs. SPECT";16-Sep-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
