Page URL,Menu Item,Resource URL,Title,Brief Description,Date,Member Only,Resource Type,Bone,Cardiovascular,Careers,Coding & HRGs,Diagnostics,Educational,Endocrinology,Equipment,Gastro,Haematology,Infection,Lung,Management,Management and Workforce,Molecular Radiotherapy,Neurology,Oncology,Paediatrics,PET and PET-CT,Physics – dosimetry,Physics – imaging science,Physics – radiation protection,Radiopharmaceutical Development,Radiopharmacy,Renal,Therapeutic,Thyroid,Training,Working in NM
https://www.bnms.org.uk/page/ClinicalAuditResources,Clinical Audit Resources,https://www.rcr.ac.uk/career-development/audit-quality-improvement/auditlive-radiology-templates/,The Royal College of Radiologists: AuditLive (Clinical radiology),"A collection of audit templates providing a framework identifying best practice in key stages of the audit cycle, covering over 100 radiology topics, and supporting the Quality Standard for Imaging (QSI):",,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/ClinicalAuditResources,Clinical Audit Resources,https://www.hqip.org.uk/resource/best-practice-in-clinical-audit,Healthcare Quality Improvement Partnership: Best Practice in Nuclear Medicine Resources,The purpose of this document is to set out updated criteria for best practice in local clinical audit. ,43965,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/ClinicalAuditResources,Clinical Audit Resources,https://www.myesr.org/quality-safety/clinical-audit,European Society of Radiology - Clinical Audit,"4th Edition of Esperanto, ESR Guide to Clinical Audit in Radiology:",,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/BNMSGenericGuidelinesNEW,BNMS Generic Guidelines,https://drive.usercontent.google.com/download?id=1fuszXCQBDulqst49XKzeu7vn7UR29NwR&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Consent Issues in Nuclear Medicine,"Reviewed by Sobhan Vinjamuri July 2025 
This position paper from the Council of the British Nuclear Medicine Society discusses the implications for the practice of nuclear medicine of the consent policy of the Department of Health .",45839,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/BNMSGenericGuidelinesNEW,BNMS Generic Guidelines,https://drive.usercontent.google.com/download?id=1YENy7AAs4d6BqVmUOdcmNuGwlDOcExJg&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Gamma Camera Tender Questionnaire - part 1,Reviewed by Andy Irwin and are effective from 15th December 2025,46006,No,Guidelines,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSGenericGuidelinesNEW,BNMS Generic Guidelines,https://docs.google.com/spreadsheets/d/1B2ipMilNJZfqiygTlKPv-4wTWgALUx0f/edit?gid=645892331#gid=645892331,Gamma Camera Tender Questionnaire - part 2,Reviewed by Andy Irwin and are effective from 15th December 2025,46006,No,Guidelines,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSGenericGuidelinesNEW,BNMS Generic Guidelines,https://journals.lww.com/nuclearmedicinecomm/fulltext/9900/bnms_guidelines_for_nuclear_medicine_events_and.315.aspx,Nuclear Medicine Events and Learning Meetings (NM EALM),"Guidelines for Nuclear Medicine Events and Learning Meetings (NM EALM)
Little, David; Graham, Richard; Redman, Stewart
Login as a member to view the full guideline",45566,Yes,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/BNMSGenericGuidelinesNEW,BNMS Generic Guidelines,https://drive.usercontent.google.com/download?id=1GtWYCqleakh6H-GgnikcdLYHhWxrxxHx&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Provision of Paediatric Radionuclide Imagning Services,"BNMS Generic Quality Guidelines for Provision of Paediatric Radionuclide Imaging Services
The purpose of these guidelines is to promote the provision of a high quality Nuclear Medicine service that is responsive to the specific needs of children.
",44287,No,Guidelines,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
https://www.bnms.org.uk/page/BNMSGenericGuidelinesNEW,BNMS Generic Guidelines,https://drive.usercontent.google.com/download?id=1FX4vBMRO-0BJQ03eqrRyPFRlw3wzn4Ti&authuser=0&acrobatPromotionSource=gdrive_chrome-list,Scientific Support for Nuclear Medicine - part 1,"BNMS Report Nuclear Medicine is a thriving and evolving specialty where technological advances such as hybrid imaging and new diagnostic and therapeutic agents are leading to improved diagnostic and therapeutic outcomes. As technology becomes increasingly complex, strong scientific support for the service is essential to ensure quality, safety and regulatory compliance. The purpose of this paper is:
To highlight the knowledge and skills required to act as a physicist within a Nuclear Medicine service and act as a key duty holder under the relevant legislation
To describe the functions provided by physicists within Nuclear Medicine
To provide indicative numbers of staffing for small and large organisations and describe the risk associated with inadequate support

",45078,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.bnms.org.uk/page/BNMSGenericGuidelinesNEW,BNMS Generic Guidelines,https://journals.lww.com/nuclearmedicinecomm/abstract/2023/11000/scientific_support_for_nuclear_medicine.1.aspx,Scientific Support for Nuclear Medicine - part 2,"Author Andy Irwin, Singleton Hospital
This guideline is now published in NMC",2023,No,Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
