Record Id,GSF Organisation Name,Member type,Partner type,Funder type,Sub member type,Partner services,Created Time,uid,GSF Organisation Owner.id,GSF Organisation Owner,Number of schools
zcrm_815132000007408173,Apex Education,SO,,,School Network,,2025-09-30 21:09:15,ad34685b3f9aaf07,zcrm_815132000000433001,Sharon Bacon,2
zcrm_815132000007408178,Avasar Foundation,ESO,,,,,2025-09-30 21:09:19,20f0de61abcdef77,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007408183,Capital Plus Exchange,ESO,,,,,2025-09-30 21:09:27,59b556b2708c1a83,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007408188,DFID,Partner - to be removed,Multilateral and Bilateral,,,,2025-09-30 21:09:37,dd688da8ece14fef,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007408193,Hello Future,ESO,,,,,2025-09-30 21:09:55,796dbd72da54c47a,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007408198,Hippocampus Learning Centres,SO,,,School Network,,2025-09-30 21:09:56,921cfa1d1afba431,zcrm_815132000000433001,Sharon Bacon,179
zcrm_815132000007408203,IIEP,Partner - to be removed,Multilateral and Bilateral,,,,2025-09-30 21:09:59,4714712e7a2e5594,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007408208,Intrinsic Labs,Partner - to be removed,"Research, Advisory and Think Tank",,,,2025-09-30 21:10:04,c4dbfa64865793c8,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007408213,LEAD,ESO,,,,,2025-09-30 21:10:09,07211cec33d0ceff,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007408218,NFER,ESO,,,,,2025-09-30 21:10:21,0c4a9e0f827a1409,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007409101,Amna,ESO,,,,,2025-09-30 21:09:13,8cc5dc5ac932af1c,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007409106,Child Fund,ESO,,,,,2025-09-30 21:09:29,619fd747bb8b7612,zcrm_815132000000433001,Sharon Bacon,
zcrm_815132000007409111,Dubai Cares,Partner - to be removed,Funder,Government,,,2025-09-30 21:09:38,67543f9c517b7b53,zcrm_815132000000433001,Sharon Bacon,
