Group name,id,Group type,Address line 1,Address line 2,Town/city,County,Country,Postcode,Website,Telephone,Group region,Group parent code
Airedale NHS Foundation Trust,17ef950d-51ae-4c20-b68a-ea901087bf4f,NHS Trust/Health Board,Airedale General Hospital,Skipton Road,Steeton,West Yorkshire,United Kingdom,BD20 6TD,https://www.airedale-trust.nhs.uk/contact-us/,01535 652511,North West,RCF
Alder Hey Children's NHS Foundation Trust,6bc4c642-e640-46d8-b7f8-c0f8365d445a,NHS Trust/Health Board,Alder Hey Children's Hospital,Eaton Road,Liverpool,Merseyside,United Kingdom,L12 2AP,https://www.alderhey.nhs.uk/locations/alder-hey-childrens-hospital/,0151 228 4811,North West,RBS
Alliance Medical Limited,b79c7722-bf88-447e-b0aa-38f94bb2a6dc,Private healthcare/imaging group,The Woods,Opus 40 Business Park,Warwick,Warwickshire,United Kingdom,CV34 5AH,https://www.alliancemedical.co.uk/,01926 482000,West Midlands,
Aneurin Bevan University Health Board,88ef136a-f11a-49b3-a316-39868947b2a5,NHS Trust/Health Board,Nevill Hall Hospital Abergavenny,,Abergavenny,Monmouthshire,United Kingdom,NP7 7EG,,01873 733000,South Wales,7A6
Ashford and St Peter's Hospitals NHS Foundation Trust,a3bab40a-e50d-429a-8efe-90df8a3ebbfb,NHS Trust/Health Board,St Peter's Hospital,Guildford Road,Chertsey,Surrey,United Kingdom,KT16 0PZ,https://www.ashfordstpeters.nhs.uk/,01932 872000,South Thames,RTK
Aspen Healthcare Limited,f98e975b-1e01-4118-b1ee-515d232f28bd,Private healthcare/imaging group,Centurion House (3rd Floor),37 Jewry Street,London,Greater London,United Kingdom,EC3N 2ER,https://www.aspen-healthcare.co.uk/,020 7977 6080,North Thames,
"Barking, Havering and Redbridge University Hospitals NHS Trust",0d82d987-3f3a-4ec9-b104-6ebdab0a76cc,NHS Trust/Health Board,Queen’s Hospital,Rom Valley Way,Romford,Essex,United Kingdom,RM7 0AG,https://www.bhrhospitals.nhs.uk/,+44 1708 435 000,North Thames,RF4
Barnsley Hospital NHS Foundation Trust,6767e3e7-fc38-4c45-8c58-40800ae5c597,NHS Trust/Health Board,Barnsley Hospital,,Barnsley,South Yorkshire,United Kingdom,S75 2EP,https://www.barnsleyhospital.nhs.uk/contact-us,01226 730000,Yorkshire and the Humber,RFF
Barts Health NHS Trust,a35a9624-f82b-4296-aad8-c25582fe3a4f,NHS Trust/Health Board,Newham Hospital,,London,Greater London,United Kingdom,E13 8SL,https://www.bartshealth.nhs.uk/newham/,020 7476 4000,North Thames,R1H
Bedfordshire Hospitals NHS Foundation Trust,1e760451-9af5-4b81-bce9-cb0531ce4951,NHS Trust/Health Board,Bedford Hospital,,Bedford,Bedfordshire,United Kingdom,MK42 9DJ,https://www.bedfordshirehospitals.nhs.uk/our-hospitals/bedford-hospital/,01234 792053,East of England,RC9
Belfast Health and Social Care Trust,3da44b81-2970-4f27-9f60-ac34d4a1cef5,NHS Trust/Health Board,Belfast City Hospital,,Belfast,Belfast,United Kingdom,BT9 7AB,https://belfasttrust.hscni.net/service/regional-medical-physics-service/,028 9032 9241,Northern Ireland,BHSCT
