Organisation name,Organisation type,Country,Town / city,BNMS Region
The Royal College of Radiologists,Research or charitable organisation,United Kingdom,London,North Thames
IPEM,Research or charitable organisation,United Kingdom,York,Yorkshire and the Humber
The Society and College of Radiographers,Research or charitable organisation,United Kingdom,London,South Thames
Cancer Research UK,Research or charitable organisation,United Kingdom,London,North Thames
NIHR,Research or charitable organisation,United Kingdom,Twickenham,South Thames
UKHSA,Research or charitable organisation,United Kingdom,London,North Thames
Office for Nuclear Regulation,Research or charitable organisation,United Kingdom,Bootle,North West
Boston Scientific,Commercial or industry organisation,United Kingdom,Hemel Hempstead,North Thames
Comecer,Commercial or industry organisation,Italy,Castel Bolognese,Overseas
Curium Pharma,Commercial or industry organisation,United Kingdom,Portsmouth,South East & Wessex
Cyclomedica,Commercial or industry organisation,United Kingdom,Bristol,South West
GE Healthcare Pharmaceutical Diagnostics,Commercial or industry organisation,United Kingdom,Chalfont St Giles,"Oxfordshire, Berkshire & Buckinghamshire"
Invia Medical Imaging Solutions,Commercial or industry organisation,United States,Ann Arbor,Overseas
LabLogic Ltd,Commercial or industry organisation,United Kingdom,Sheffield,Yorkshire and the Humber
Mediso Medical Imaging Systems UK Limited,Commercial or industry organisation,United Kingdom,Farnborough,South East & Wessex
Mirada Medical Ltd,Commercial or industry organisation,United Kingdom,Oxford,"Oxfordshire, Berkshire & Buckinghamshire"
Mirion Medical,Commercial or industry organisation,United Kingdom,Farnborough,South East & Wessex
Serac Healthcare Ltd,Commercial or industry organisation,United Kingdom,London,North Thames
Siemens Healthineers,Commercial or industry organisation,United Kingdom,Camberley,South East & Wessex
Sirtex Medical,Commercial or industry organisation,United Kingdom,London,North Thames
Southern Scientific Limited,Commercial or industry organisation,United Kingdom,Henfield,South East & Wessex
Spectrum Dynamics Medical,Commercial or industry organisation,United Kingdom,London,North Thames
Telix,Commercial or industry organisation,United Kingdom,Amersham,"Oxfordshire, Berkshire & Buckinghamshire"
Trasis,Commercial or industry organisation,Belgium,Ans,Overseas
United Imaging,Commercial or industry organisation,United Kingdom,London,South Thames
Vertec Scientific Ltd,Commercial or industry organisation,United Kingdom,Guildford,South East & Wessex
,,,,
