id,name,Type,Country,Region,Town/city,Website,Invoicing Address,Invoicing Email,Email,Phone,Site code,Parent code
360fed97-5f44-4861-8229-35081662302a,Aberdeen Royal Infirmary,Public hospital or clinical site,United Kingdom,Scotland,Aberdeen,https://www.nhsgrampian.org/hospital-hub/aberdeen-royal-infirmary/,"Foresterhill Road, Aberdeen, Aberdeen City, AB25 2ZN, United Kingdom",,,0345 456 6000,N101H,S08000020
e5737658-2145-480c-a9b3-46135b90e732,Addenbrooke's Hospital,Public hospital or clinical site,United Kingdom,East of England,Cambridge,http://www.cuh.org.uk/addenbrookes/services/clinical/pet_ct/pet_ct_index.html,"Hills Road, Cambridge, Cambridgeshire, CB2 0QQ, United Kingdom",,,01223 217342,RGT01,RGT
effbab92-66fe-41e0-8869-ebd2fbdae9a0,Aintree University Hospital,Public hospital or clinical site,United Kingdom,North West,Liverpool,https://www.uhliverpool.nhs.uk/,"Lower Lane, Fazakerley, Liverpool, Merseyside, L9 7AL, United Kingdom",,,0151 529 2965,,REM
9913f2a9-ff35-4e64-9c7e-78101e349c74,Alder Hey Children's Hospital,Public hospital or clinical site,United Kingdom,North West,Liverpool,https://www.alderhey.nhs.uk/locations/alder-hey-childrens-hospital/,"Eaton Road, Liverpool, Merseyside, L12 2AP, United Kingdom",,,0151 228 4811,,RBS
0bd2cf5a-c28f-4338-be4f-421aa079f24f,Alliance Medical Guildford PET-CT Centre,Private hospital or imaging centre,United Kingdom,South East & Wessex,Guildford,https://www.alliancemedical.co.uk/scan-centres/guildford-pet-ct-centre,"Stephenson Road, Surrey Research Park, Guildford, Surrey, GU2 7XU, United Kingdom",,,01483 948348,,
f4939226-4ee9-42d3-8722-4376fbea6514,Alliance Medical Portsmouth PET-CT Centre,Private hospital or imaging centre,United Kingdom,South East & Wessex,Cosham,https://www.alliancemedical.co.uk/scan-centres/portsmouth-pet-ct-centre,"Southwick Hill Road, Cosham, Hampshire, PO6 3LY, United Kingdom",,,02392 283658,,
96990ff0-fc1f-4ce7-bc40-7c7268616ef9,Altnagelvin Area Hospital,Public hospital or clinical site,United Kingdom,Northern Ireland,Londonderry,https://westerntrust.hscni.net/hospitals/altnagelvin-area-hospital/,"Glenshane Road, Londonderry, Derry City and Strabane, BT47 6SB, United Kingdom",,,02871 611 347,,WHSCT
5e24e75a-b3ea-44c4-bf55-5b928a085de1,Alzaiem Alazhari University,University,Sudan,Overseas,Khartoum North,https://aau.edu.sd/,"Alzaiem Alazhari University, P.O. Box 1432, Khartoum North, Sudan",,,,,
48aca279-1946-4ca2-8891-26fc7ee93576,Antrim Area Hospital,Public hospital or clinical site,United Kingdom,Northern Ireland,Antrim,,"Bush Manor, Antrim, BT41 2RL, United Kingdom",,,028 94424000,,NHSCT
a8354966-b879-456a-a019-14ac0490599c,Bahçe?ehir University,University,Turkey,Overseas,Istanbul,https://bau.edu.tr/,"Ç?ra?an Caddesi, Osmanpa?a Mektebi Sokak No. 4-6, Be?ikta?, Istanbul, 34353, Türkiye",,,,,
e5d90e63-b748-40d8-90ba-2c63f8da9920,Barnet Hospital,Public hospital or clinical site,United Kingdom,North Thames,Greater London,https://www.royalfree.nhs.uk/services/nuclear-medicine,"Wellhouse Lane, High Barnet, Greater London, Hertfordshire, EN5 3DJ, United Kingdom",,,020 8216 5115,,RAL
98941bc0-726e-43f0-bac2-0693a2f4626a,Barnsley Hospital,Public hospital or clinical site,United Kingdom,Yorkshire and the Humber,Barnsley,https://www.barnsleyhospital.nhs.uk/contact-us,"Winter Road, Pogmoor, Barnsley, South Yorkshire, S75 2EP, United Kingdom",,,01226 730000,RFFAA,RFF
c3aee66a-3b05-4ff4-b6cd-3d6819243e92,Basildon University Hospital,Public hospital or clinical site,United Kingdom,East of England,Basildon,,"Nether Mayne, Lee Chapel, Basildon, Essex, SS16 5NL, United Kingdom",,,01268 524900,,RAJ
6a3a810b-22c9-4a82-9afa-011e4c64e356,Basingstoke and North Hampshire Hospital,Public hospital or clinical site,United Kingdom,South East & Wessex,Basingstoke,,"Mailing Way, Rooksdown, Basingstoke, Hampshire, RG24 9NA, United Kingdom",,,01256 313368,,RN5
acc526dc-c910-454c-b2c6-be5984fc1e45,Bedford Hospital,Public hospital or clinical site,United Kingdom,East of England,Bedford,https://www.bedfordshirehospitals.nhs.uk/our-hospitals/bedford-hospital/,"Kempston Road, Cauldwell, Bedford, Bedfordshire, MK42 9DJ, United Kingdom",,,01234 792053,,RC9
3ff7db2b-5800-45a1-b2ba-f3fc9f52c625,Belfast City Hospital,Public hospital or clinical site,United Kingdom,Northern Ireland,Belfast,https://belfasttrust.hscni.net/service/regional-medical-physics-service/,"Lisburn Road, Belfast, BT9 7AB, United Kingdom",,,028 9032 9241,,BHSCT
2c65efb1-32fe-468c-aa14-eb83c53f8ddf,Birmingham Children's Hospital,Public hospital or clinical site,United Kingdom,West Midlands,Birmingham,,"Steelhouse Lane, Digbeth, Birmingham, West Midlands, B4 6NH, United Kingdom",,,0121 333 9749,,RQ3
5bbd19b6-ca13-49ee-affb-a0d58e13d86b,Birmingham City University,University,United Kingdom,West Midlands,Birmingham,https://www.bcu.ac.uk/,"Curzon Building, 4 Cardigan Street, Birmingham, B4 7BD, United Kingdom",,,,,
2bc3c7ea-287d-47f3-8c77-b7f13bb6349c,Birmingham Heartlands Hospital,Public hospital or clinical site,United Kingdom,West Midlands,Birmingham,https://www.uhb.nhs.uk/hospitals/heartlands-hospital/,"Bordesley Green East, Birmingham, West Midlands, B9 5SS, United Kingdom",,,0121 424 0808,,RRK
