| pubname           | schemaname | tablename                     | attnames                                                                                                                                                                                                                                                                                                                                                                                                                   | rowfilter |
| ----------------- | ---------- | ----------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------- |
| supabase_realtime | public     | article_comment               | {id,article_id,content,author_name,author_member_id,is_member,thumbs_up_count,thumbs_down_count,created_at,user_identifier}                                                                                                                                                                                                                                                                                                | null      |
| supabase_realtime | public     | article_reaction              | {id,article_id,reaction_type,user_identifier,is_member}                                                                                                                                                                                                                                                                                                                                                                    | null      |
| supabase_realtime | public     | blog_post                     | {id,title,slug,author_id,guest_writer_id,summary,content,feature_image_url,subcategories,tags,status,published_date,seo_title,seo_description,original_author_id,share_password,tenant_id}                                                                                                                                                                                                                                 | null      |
| supabase_realtime | public     | comment_reaction              | {id,comment_id,reaction_type,user_identifier,is_member}                                                                                                                                                                                                                                                                                                                                                                    | null      |
| supabase_realtime | public     | event                         | {id,title,description,program_tag,start_date,end_date,location,ticket_price,available_seats,backstage_event_id,backstage_ticket_type_id,backstage_public_url,image_url,last_synced,zoom_webinar_id,pricing_config,internal_reference,speaker_ids,summary,event_type,filter_tags,cta_override_url,is_online,status,zoom_meeting_id,show_seat_count,is_unlimited_registration,show_ticket_availability,tenant_id}            | null      |
| supabase_realtime | public     | member                        | {id,email,first_name,last_name,handle,job_title,biography,profile_photo_url,organization_id,role_id,role_effective_from,last_activity,login_enabled,member_excluded_features,page_tours_seen,show_in_directory,zoho_organization_id,created_on,mobile,landline,engagement_opening_balances,status,google_id,tenant_id,identity_id}                                                                                         | null      |
| supabase_realtime | public     | navigation_item               | {id,title,url,link_type,location,parent_id,display_order,is_active,open_in_new_tab,icon,description,highlight_style,tenant_id,display_type,button_style,content_block_type,footer_column}                                                                                                                                                                                                                                  | null      |
| supabase_realtime | public     | organization                  | {id,name,logo_url,training_fund_balance,program_ticket_balances,phone,invoicing_email,invoicing_address,description,website_url,created_at,tenant_id,status}                                                                                                                                                                                                                                                               | null      |
| supabase_realtime | public     | organization_preference_value | {id,organization_id,field_id,value,created_at,updated_at}                                                                                                                                                                                                                                                                                                                                                                  | null      |
| supabase_realtime | public     | program_ticket_transaction    | {id,organization_id,program_name,transaction_type,quantity,original_quantity,cancelled_quantity,status,purchase_order_number,booking_reference,event_name,member_email,notes,xero_invoice_id,xero_invoice_number,xero_invoice_pdf_uri,discount_code_id,discount_amount_applied,total_cost_before_discount,cancelled_by_member_email,cancelled_at,original_transaction_id,po_to_follow,created_date,updated_date,tenant_id} | null      |
| supabase_realtime | public     | resource                      | {id,title,description,subcategories,resource_type,target_url,open_in_new_tab,image_url,release_date,is_public,allowed_role_ids,tags,author_id,author_name,folder_id,status,tenant_id}                                                                                                                                                                                                                                      | null      |
| supabase_realtime | public     | training_fund_transaction     | {id,organization_id,type,amount,balance_before,balance_after,reason,booking_id,created_by,created_date,tenant_id}                                                                                                                                                                                                                                                                                                          | null      |
| supabase_realtime | public     | voucher                       | {id,organization_id,code,value,description,expires_at,status,used_at,used_for_transaction_id,tenant_id}                                                                                                                                                                                                                                                                                                                    | null      |
| supabase_realtime | public     | voucher_transaction           | {id,voucher_id,organization_id,booking_reference,event_id,event_title,member_id,member_email,amount,balance_before,balance_after,type,created_at,tenant_id}                                                                                                                                                                                                                                                                | null      |
| supabase_realtime | public     | zoom_webinar                  | {id,topic,agenda,start_time,duration_minutes,timezone,registration_required,zoom_webinar_id,zoom_host_id,join_url,registration_url,password,status,created_by_member_id,created_at,updated_at}                                                                                                                                                                                                                             | null      |
| supabase_realtime | public     | zoom_webinar_panelist         | {id,webinar_id,name,email,role,zoom_panelist_id,join_url,status,created_at}                                                                                                                                                                                                                                                                                                                                                | null      |
| supabase_realtime | public     | project_card_attachment       | {id,card_id,name,url,file_type,file_size,uploaded_by,uploaded_at,storage_path,thumbnail_url}                                                                                                                                                                                                                                                                                                                               | null      |
| supabase_realtime | public     | project_card_activity         | {id,card_id,identity_id,action_type,action_data,created_at}                                                                                                                                                                                                                                                                                                                                                                | null      |
