2026-02-05T09:44:33.142+01:00 INVOKEURL isaasi_list_module_fields:9 - GET 200 https://www.zohoapis.eu/crm/v3/settings/fields rt_ms=238
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Organisation Owner  |  API: Owner  |  TYPE: ownerlookup
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Organisation Name  |  API: Account_Name  |  TYPE: text
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Website  |  API: Website  |  TYPE: website
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Organisation Type  |  API: Account_Type  |  TYPE: picklist
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Created By  |  API: Created_By  |  TYPE: ownerlookup
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Modified By  |  API: Modified_By  |  TYPE: ownerlookup
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Created Time  |  API: Created_Time  |  TYPE: datetime
2026-02-05T09:44:33.387+01:00 INFO isaasi_list_module_fields:21 - LABEL: Modified Time  |  API: Modified_Time  |  TYPE: datetime
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Last Activity Time  |  API: Last_Activity_Time  |  TYPE: datetime
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Layout  |  API: Layout  |  TYPE: bigint
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Tag  |  API: Tag  |  TYPE: text
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Organisation Image  |  API: Record_Image  |  TYPE: profileimage
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Change Log Time  |  API: Change_Log_Time__s  |  TYPE: datetime
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Locked  |  API: Locked__s  |  TYPE: boolean
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Last Enriched Time  |  API: Last_Enriched_Time__s  |  TYPE: datetime
2026-02-05T09:44:33.388+01:00 INFO isaasi_list_module_fields:21 - LABEL: Enrich Status  |  API: Enrich_Status__s  |  TYPE: picklist
