id,YM Web Site Member ID,YM Membership type,Member class,Membership status
0163d75b-a143-5354-ab44-33ab26375da6,56535906,Radiopharmacy Departmental Contact,Department contact,Active
01b76317-6f6a-52db-afd8-1c56090f7c78,56536055,Radiopharmacy Departmental Contact,Department contact,Active
026dc298-5c28-5dd1-a473-c3470ac52e7d,56536096,Radiopharmacy Departmental Contact,Department contact,Active
048cd89e-76b7-5120-a750-fa2955d29d34,56535983,Radiopharmacy Departmental Contact,Department contact,Active
101a7163-c38c-50e4-a2a5-026bfaf2e8d7,56535937,Radiopharmacy Departmental Contact,Department contact,Active
1183fd5a-be52-56c0-a115-5608bf707ce5,56536166,Radiopharmacy Departmental Contact,Department contact,Active
1267a52e-0865-52d0-ab33-054ff15daebb,56536197,Radiopharmacy Departmental Contact,Department contact,Active
1b866bc8-11ac-54cd-af7c-feb311d0052e,56536024,Radiopharmacy Departmental Contact,Department contact,Active
1be724c5-febf-563c-adbf-a8986ad46c79,56535995,Radiopharmacy Departmental Contact,Department contact,Active
2ad5e8a2-50b9-55ea-a43b-9b1f3a151cdc,56536062,Radiopharmacy Departmental Contact,Department contact,Active
2d0f6368-f836-5c07-a441-1deb61ab83e9,56536120,Radiopharmacy Departmental Contact,Department contact,Active
2ec74adb-f4aa-568d-ab7d-61303de9bc57,56536085,Radiopharmacy Departmental Contact,Department contact,Active
3256da66-e20b-5a5e-a3e9-1ac592cfe8c6,56536164,Radiopharmacy Departmental Contact,Department contact,Active
36f3eb92-7524-5ab3-a362-decaa5f0c7b9,56535956,Radiopharmacy Departmental Contact,Department contact,Active
415644c2-8e50-53cf-a25d-93aa396ae07d,56535985,Radiopharmacy Departmental Contact,Department contact,Active
44f6dd48-8d90-58c3-a56e-d3a2f4a9e07c,56535913,Radiopharmacy Departmental Contact,Department contact,Active
4a664fb7-be71-5dc7-aa0c-751e7e2469f2,56536029,Radiopharmacy Departmental Contact,Department contact,Active
4a78ad81-7373-5598-a4fa-34ee17f727a3,56536245,Radiopharmacy Departmental Contact,Department contact,Active
4f88d7df-7f43-5316-a445-7ba44b56f7a9,56536132,Radiopharmacy Departmental Contact,Department contact,Active
5a016d46-42bd-5c0b-aeeb-6164005023fa,56536186,Radiopharmacy Departmental Contact,Department contact,Active
60c1486a-f724-5738-a519-76fc0507848e,56536232,Radiopharmacy Departmental Contact,Department contact,Active
62f5779c-b6d0-5926-a12b-551f03555b34,56535916,Radiopharmacy Departmental Contact,Department contact,Active
6667aaa1-c589-55cd-a614-9eedd8e19e0b,56536243,Radiopharmacy Departmental Contact,Department contact,Active
66f41fff-8ec2-5c2f-a3dc-4d99286717cd,56536048,Radiopharmacy Departmental Contact,Department contact,Active
677476a2-86d9-57b8-a6dd-02e8603b4b84,56536009,Radiopharmacy Departmental Contact,Department contact,Active
68d27798-0b08-5c36-a508-2c2f3a671cb1,56536239,Radiopharmacy Departmental Contact,Department contact,Active
69ca6c0e-2eb6-50f9-a95a-519227877218,56535972,Radiopharmacy Departmental Contact,Department contact,Active
70e9a513-4c45-5c6c-a73a-2443ef9c0ccd,56535939,Radiopharmacy Departmental Contact,Department contact,Active
74be3dbf-7816-5693-a567-39f8f03ccb72,56536093,Radiopharmacy Departmental Contact,Department contact,Active
78ccc2d5-274f-5d9a-a8b8-a9fb861a88d4,56536200,Radiopharmacy Departmental Contact,Department contact,Active
7b46e814-231f-5da1-ad49-051da5a45e96,56536116,Radiopharmacy Departmental Contact,Department contact,Active
