Organisation,Category,Country,BNMS region,City,Website
Birmingham City University,University,England,West Midlands,Birmingham,https://www.bcu.ac.uk/
Brighton and Sussex Medical School,Other Education / Training Institution,England,South East & Wessex,Brighton,https://www.bsms.ac.uk/
Brighton College,Other Education / Training Institution,England,South East & Wessex,Brighton,https://www.brightoncollege.org.uk/
Imperial College London,University,England,North Thames,London,https://www.imperial.ac.uk/
Lancaster University,University,England,North West,Lancaster,https://www.lancaster.ac.uk/
University of Oxford,University,England,"Oxford, Berkshire & Buckinghamshire",Oxford,https://www.ox.ac.uk/
Simon Langton Girls' Grammar School,Other Education / Training Institution,England,South East & Wessex,Canterbury,https://www.langton.kent.sch.uk/
University College London (UCL),University,England,North Thames,London,https://www.ucl.ac.uk/
University of Birmingham,University,England,West Midlands,Birmingham,https://www.birmingham.ac.uk/
University of Brighton,University,England,South East & Wessex,Brighton,https://www.brighton.ac.uk/
University of Bristol,University,England,South West,Bristol,https://www.bristol.ac.uk/
University of Exeter,University,England,South West,Exeter,https://www.exeter.ac.uk/
University of Gloucestershire,University,England,South West,Cheltenham / Gloucester,https://www.glos.ac.uk/
University of Liverpool,University,England,North West,Liverpool,https://www.liverpool.ac.uk/
University of Manchester,University,England,North West,Manchester,https://www.manchester.ac.uk/
University of Nottingham,University,England,East Midlands,Nottingham,https://www.nottingham.ac.uk/
University of Salford,University,England,North West,Salford,https://www.salford.ac.uk/
"University of the West of England, Bristol (UWE Bristol)",University,England,South West,Bristol,https://www.uwe.ac.uk/
Universitas Gadjah Mada,University,Indonesia,Overseas,Yogyakarta,https://ugm.ac.id/
Jomo Kenyatta University of Agriculture and Technology,University,Kenya,Overseas,Juja,https://www.jkuat.ac.ke/
Osun State University,University,Nigeria,Overseas,Osogbo,https://www.uniosun.edu.ng/
University of Benin,University,Nigeria,Overseas,Benin City,https://www.uniben.edu/
Queen's University Belfast,University,Northern Ireland,Northern Ireland,Belfast,https://www.qub.ac.uk/
Bolan University of Medical and Health Sciences,University,Pakistan,Overseas,Quetta,https://www.bumhs.edu.pk/
"Iqra Institute of Health Sciences, Quetta",Other Education / Training Institution,Pakistan,Overseas,Quetta,
Khyber Medical University,University,Pakistan,Overseas,Peshawar,https://kmu.edu.pk/
Sindh Institute of Urology and Transplantation (SIUT),Other Education / Training Institution,Pakistan,Overseas,Karachi,https://siut.org/
The University of Lahore,University,Pakistan,Overseas,Lahore,https://uol.edu.pk/
Dr Carol Davila Central Military Emergency University Hospital,Other Education / Training Institution,Romania,Overseas,Bucharest,
Glasgow Caledonian University,University,Scotland,Scotland,Glasgow,https://www.gcu.ac.uk/
University of Glasgow,University,Scotland,Scotland,Glasgow,https://www.gla.ac.uk/
Alzaiem Alazhari University,University,Sudan,Overseas,Khartoum North,https://aau.edu.sd/
Bahçe?ehir University,University,Türkiye,Overseas,Istanbul,https://bau.edu.tr/
Universidad de la República,University,Uruguay,Overseas,Montevideo,https://udelar.edu.uy/
Cardiff University,University,Wales,South Wales,Cardiff,https://www.cardiff.ac.uk/
Swansea University,University,Wales,South Wales,Swansea,https://www.swansea.ac.uk/
