"Organisation Name","Organisation UUID","Department Name","Department UUID"
"Aberdeen Royal Infirmary","360fed97-5f44-4861-8229-35081662302a","Nuclear Medicine - Physics based","808e5174-bcba-47a7-83d9-d3fd31f5321a"
"Aberdeen Royal Infirmary","360fed97-5f44-4861-8229-35081662302a","PET Centre","c05ff267-6d09-4c8d-9768-79c451045864"
"Aberdeen Royal Infirmary","360fed97-5f44-4861-8229-35081662302a","Radiopharmacy","3c401e90-b1cb-4ece-abbe-5279e8a6bee0"
"Addenbrooke's Hospital","e5737658-2145-480c-a9b3-46135b90e732","PET Centre","cd83989f-9fe4-4c15-ae65-8b354bc224ef"
"Addenbrooke's Hospital","e5737658-2145-480c-a9b3-46135b90e732","Radiology based Nuclear Medicine","97083dfb-ab06-452a-8b48-3ff1170a214c"
"Addenbrooke's Hospital","e5737658-2145-480c-a9b3-46135b90e732","Radiopharmacy","9a8bae45-901c-481d-8ee5-8a0d5ba86d18"
"Aintree University Hospital","effbab92-66fe-41e0-8869-ebd2fbdae9a0","Radiology based Nuclear Medicine","dd5588fd-8349-4dde-9cd5-76c73347b698"
"Alder Hey Children's Hospital","9913f2a9-ff35-4e64-9c7e-78101e349c74","Nuclear Medicine Stand Alone","9671c845-e570-45fb-ae37-9e505d9769bb"
"Alliance Medical Guildford PET-CT Centre","0bd2cf5a-c28f-4338-be4f-421aa079f24f","PET Centre","f5668b73-e3c7-4348-8865-7d8bda604d13"
"Alliance Medical Portsmouth PET-CT Centre","f4939226-4ee9-42d3-8722-4376fbea6514","PET Centre","2c1993ce-80a4-4e64-b337-546e3257768e"
"Altnagelvin Area Hospital","96990ff0-fc1f-4ce7-bc40-7c7268616ef9","Radiology based Nuclear Medicine","8eb093e1-4fb1-4ec9-aad2-83a2af2b2eab"
"Altnagelvin Area Hospital","96990ff0-fc1f-4ce7-bc40-7c7268616ef9","Radiopharmacy","7e2f6621-2e6f-4c00-85f8-2b441c973d86"
"Alzaiem Alazhari University","5e24e75a-b3ea-44c4-bf55-5b928a085de1","",""
"Antrim Area Hospital","48aca279-1946-4ca2-8891-26fc7ee93576","Nuclear Medicine Stand Alone","8cfe8251-8586-48d4-8a34-212031de56f3"
"Bahçeşehir University","a8354966-b879-456a-a019-14ac0490599c","",""
"Barnet Hospital","e5d90e63-b748-40d8-90ba-2c63f8da9920","Radiology based Nuclear Medicine","a513d727-8d6c-4a5d-ae6a-a094ed71ba2d"
"Barnsley Hospital","98941bc0-726e-43f0-bac2-0693a2f4626a","Nuclear Medicine Stand Alone","22224ec1-b0c9-4e0e-ba6d-a6da4970a59f"
"Barnsley Hospital","98941bc0-726e-43f0-bac2-0693a2f4626a","Radiopharmacy","c3e8c658-b0f0-4119-b8da-b6df04de48fb"
"Basildon University Hospital","c3aee66a-3b05-4ff4-b6cd-3d6819243e92","Radiology based Nuclear Medicine","41c4ff5b-e589-4916-93d9-9c288b815470"
"Basingstoke and North Hampshire Hospital","6a3a810b-22c9-4a82-9afa-011e4c64e356","Nuclear Medicine Stand Alone","5d9091b1-32b1-4135-a2a0-b2e97fc43ad2"
"Bedford Hospital","acc526dc-c910-454c-b2c6-be5984fc1e45","Nuclear Medicine Stand Alone","c8c4dae8-fd2b-4854-8ebb-13f74111955c"
"Belfast City Hospital","3ff7db2b-5800-45a1-b2ba-f3fc9f52c625","Nuclear Medicine - Physics based","09765e79-5de9-4829-a7bf-009c6b08de23"
"Birmingham Children's Hospital","2c65efb1-32fe-468c-aa14-eb83c53f8ddf","Radiology based Nuclear Medicine","24c5547e-82c4-4eb9-bd05-fe72618df462"
"Birmingham City University","5bbd19b6-ca13-49ee-affb-a0d58e13d86b","",""
"Birmingham Heartlands Hospital","2bc3c7ea-287d-47f3-8c77-b7f13bb6349c","Nuclear Medicine Stand Alone","738537f0-b105-4f66-af25-f81e7b6dbbdb"
"Birmingham PET-CT Centre","f89eb62e-d005-4688-844d-587eb03132fa","PET Centre","1fe869a4-1930-4a68-9be4-74f841c71634"
"Blackpool Victoria Hospital","5302be61-f711-470a-bc71-b3049290eb69","Radiology based Nuclear Medicine","fe1111ee-2f75-4d9d-842b-ca277d74f7a8"
"BMI Mount Alvernia Hospital","b0d3c573-c818-4e3f-8fe5-ded2ed325670","Radiology based Nuclear Medicine","f56936c0-a706-4665-9d50-3f05c7dd430e"
"Bolan University of Medical and Health Sciences","39c53444-a7c3-4d23-9a96-e8a9e09915b1","",""
"Borders General Hospital","79587b69-f8e5-47e6-8de9-e0cd3e2b9a86","Radiology based Nuclear Medicine","db659acc-f731-4125-83b6-eff4fac39006"
"Bradford Royal Infirmary","c4e22b2f-668b-4b91-8535-176689ee8f1a","Nuclear Medicine - Physics based","4bdbe333-bce4-4c54-9474-224ff03cdcb0"
"Bradford Royal Infirmary","c4e22b2f-668b-4b91-8535-176689ee8f1a","Radiopharmacy","8bbbb2b8-2dad-4300-a314-de4731163c27"
"Brighton and Sussex Medical School","b0c10b23-2c57-476f-8e1b-2f647693bbbd","",""
"Brighton College","57acd1fa-6de2-4948-b9a8-59f588157bce","",""
"Bristol Royal Infirmary","7bd3943a-edb1-4d5a-b219-c9e9b7024ef3","Radiology based Nuclear Medicine","45d4652a-8b6c-411a-a359-799e5b375b8d"
"Bristol Royal Infirmary","7bd3943a-edb1-4d5a-b219-c9e9b7024ef3","Radiopharmacy","8755e71e-726e-4f78-a594-2771a45e373e"
"Broomfield Hospital","26dcc016-008e-4eac-bd9d-befa56473fd3","Nuclear Medicine Stand Alone","13b1d84a-1e1e-4b91-afd1-dc7a58dfd788"
"Cardiff Royal Infirmary","b84e036a-df02-44b7-bbe2-fdc8111722fe","Radiology based Nuclear Medicine","91694050-352b-49a6-b8fa-34272fe5b61b"
"Cardiff University","d2ac6e5d-a7dc-4639-a6c7-c8ab43770f25","",""
"Castle Hill Hospital","3c198270-af51-40d9-83f2-ecfd5dbf7067","Nuclear Medicine Stand Alone","163d4c47-3af7-4b43-85fe-bf9cc9ec96cb"
"Castle Hill Hospital","3c198270-af51-40d9-83f2-ecfd5dbf7067","PET Centre","e2bbeded-e197-4cec-b835-2cdcf8fa25b0"
"Charing Cross Hospital","e4817a7d-27f3-4d1b-9619-5daa7f5efa38","Nuclear Medicine Stand Alone","d38280a7-3e92-45f8-8e1f-6b5845b61d4f"
"Chelsea and Westminster Hospital","d2366cdb-7c3b-47a9-beae-8e1d031876cb","Nuclear Medicine Stand Alone","17a8342b-e9f8-4b93-a185-819b30fb0480"
"Cheltenham General Hospital","41fc84ec-b6da-4a4a-8c49-37537b7b96a8","Nuclear Medicine Stand Alone","14638070-91cb-4e88-b78e-7e3268acd669"
"Cheltenham General Hospital","41fc84ec-b6da-4a4a-8c49-37537b7b96a8","Radiopharmacy","200433b2-8a66-4f8a-9b26-1bff874b8b32"
"Chesterfield Royal Hospital","2ae3e12c-0287-4417-89f9-e76fcea0ff74","Radiology based Nuclear Medicine","42bf0355-c042-43a2-ad85-204d21778145"
"Chesterfield Royal Hospital","2ae3e12c-0287-4417-89f9-e76fcea0ff74","Radiopharmacy","28ecd3fa-188e-4a62-9211-fa560dba2096"
"Christchurch Hospital","27f8f87e-e47c-4ead-a201-e8cc03b4419c","Radiology based Nuclear Medicine","fdb93b8c-712a-4852-bdbf-25215279f072"
"Churchill Hospital","22813a71-ef75-497b-95a6-7616b2ba8bd2","Nuclear Medicine Stand Alone","a3a8ded3-2493-4b6c-9550-f454398bc8cd"
"Churchill Hospital","22813a71-ef75-497b-95a6-7616b2ba8bd2","PET Centre","c3ab9ee8-5392-4140-800d-e674fb2de6a7"
"Churchill Hospital","22813a71-ef75-497b-95a6-7616b2ba8bd2","Radiopharmacy","f294f444-e5f4-4f00-af12-597530d82096"
"Clatterbridge Cancer Centre","d80a0658-0275-4b1d-80a8-38d73f5da2a0","Nuclear Medicine Stand Alone","9c695a41-6873-4e66-99aa-9e428dd55651"
"Clatterbridge Hospital","1b7d188f-1986-4018-bf74-bfe4627394aa","Radiology based Nuclear Medicine","4320f0a0-524e-4db2-8275-ad6ef85c4e0c"
"Cobalt Imaging Centre","51235727-144e-4bb5-8f48-35e6c2c6d6d1","PET Centre","c0e7b56b-c639-4b29-b56c-495862bef4f8"
"Colchester Hospital","9bde0feb-734f-446b-9805-59111aec3633","Radiology based Nuclear Medicine","b0e7710b-bd47-44c5-a5b0-4cf67fce9b5b"
"Colchester Hospital","9bde0feb-734f-446b-9805-59111aec3633","Radiopharmacy","0e2849f9-87e2-4be9-94eb-1dc6fd125c39"
"Conquest Hospital","56b36b6b-c57f-4f0f-a92d-ef6e51987ba7","Radiology based Nuclear Medicine","b875b580-49ad-418a-aaf5-46c515dd559d"
"Countess of Chester Hospital","cd8aaac1-3e88-444a-8107-aca6c2f06de8","Radiology based Nuclear Medicine","16a9fe60-8b9b-4c78-915a-87c164ba2705"
"Craigavon Area Hospital","0cc860d7-ed62-44ef-b0a1-f35cd3f330bf","Radiology based Nuclear Medicine","536fb38e-034a-4018-a4c9-37013595896a"
"Cromwell Hospital","befcc132-fcac-440a-96af-51c77e0c87be","PET Centre","acb738c0-c335-480d-ad9a-df12c8c69e01"
"Crosshouse Hospital","fd2520d8-9c8d-408d-82ad-6028bc99712f","Nuclear Medicine - Physics based","48b41eea-59ba-4a5a-a085-96888d892c6d"
"Cumberland Infirmary","2d4d1f43-35cf-45f3-b83d-4aabc09efadd","Radiology based Nuclear Medicine","20b372f6-0987-422f-a85a-6e90d65dc411"
"Cumberland Infirmary","2d4d1f43-35cf-45f3-b83d-4aabc09efadd","Radiopharmacy","26ecfe47-5db9-4cc1-8209-34ead5effa54"
