Page URL;Menu Item;Resource URL;Title;Brief Description;Date;Member Only;Collection;Resource Type;Artificial intelligence;Bone;Cardiovascular;Careers;Coding & HRGs;Diagnostics;Educational;Endocrinology;Equipment;Gastro;Haematology;Infection;Lung;Management;Management and Workforce;Molecular Radiotherapy;Neurology;Oncology;Paediatrics;PET and PET-CT;Physics – dosimetry;Physics – imaging science;Physics – radiation protection;Radiopharmaceutical Development;Radiopharmacy;Renal;Therapeutic;Thyroid;Training;Working in NM
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1PGwR0ca8MT0_dInXSl1WZkxOmJ998rWT/view;P01 Determining SPECT/CT semi-quantification ratio cut-offs for guiding surgical man-agement in patients with UCH: A local retrospective study;;2025;Yes;Events;Posters;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1T1W6CKB8Gkw55FtfJg_7nM7PicuyG1SL/view;P02 Unmasking The Heart: When Bone Scan Reveals More Than Expected;;2025;Yes;Events;Posters;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1OoBZf39lMnup78MRZqAEXzxrp2db4tC3/view;P03 Calcium score as a gatekeeper for myocardial perfusion scan;;2025;Yes;Events;Posters;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1zGGh7IzhUfN-5hY3lRxmV9BgbYKjp6L5/view;"P04 “Reversible Myocardial Injury” in Cardiac Transplant Rejection: A Case Report
Highlighting the Role of 18F-FDG and 82Rb-PET Imaging";;2025;Yes;Events;Posters;;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1znJ4TG5dW8vGR2sh9qWUMjuiOF43Aw5G/view;P05 Streamlining current protocols in octreotide imaging;;2025;Yes;Events;Posters;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1j6eO7olZZmou2Bwa3462LC-jQd86be05/view;P07 How bad is bad? Diagnostic Efficacy of Modified SehCAT Protocols of Bile Acid Malabsorption In Frimley Park Hospital;;2025;Yes;Events;Posters;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1m0yufw2A4E5kh1WqhN46k0A0Q9byG15a/view;P08 MHRA Trusted Advisory Group (TAG);;2025;Yes;Events;Posters;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1IVRb73LVCcTQfSnE1jFnaiNl9FInRobw/view;"P09 Supporting research capacity in Nuclear Medicine – a synergistic relationship
between clinical practice and Research & Development";;2025;Yes;Events;Posters;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/16XBEpFbPWc5bN1o3CMC1NGG6QK8LOjXp/view;"P10 Development of a Standardised Training Documentation Template for 
Nuclear Medicine Practice in London";;2025;Yes;Events;Posters;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
https://drive.google.com/drive/folders/1UgITKsr9gQ360Qywq7Ah3woxoT3wPo2B;Posters Autumn 2025;https://drive.google.com/file/d/1Yg4uAPI0lOvrMwpWtQUR0paQQTca4SXf/view;P11 Transition from Conventional PET to Long Axial Field of View (LAFOV) PET Scanners;;2025;Yes;Events;Posters;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
