organization.uuid;organization_preference_value.field_id;organization.name;Domains
55a86410-7f60-4451-a45c-5760d93ccf1a;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Abertay University;abertay.ac.uk
baf202a1-bffa-4902-85f9-10e79b0e22c6;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Aberystwyth University;aber.ac.uk
21c56316-d459-4cd3-8b8e-7ebfd350c9e5;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Anglia Ruskin University;aru.ac.uk,london.aru.ac.uk
33e0e979-1477-49f1-ae28-496d570caa0d;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Arden University;arden.ac.uk
efe64f85-34a5-4ccb-98d4-40877d0fc2e5;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Arts University Bournemouth;aub.ac.uk
5a7c3cc9-a1f6-4660-a42c-8e03ce7cf2c4;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Arts University Plymouth;pca.ac.uk
2b343e0d-289e-4ff3-9bee-61961d9d7dd3;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Aston University;aston.ac.uk
5742b358-e09a-4c08-aa10-3142ef1d4753;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Bangor University;bangor.ac.uk
b176a5b0-3c41-485d-9d45-917df47c0a81;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Bath Spa University;bathspa.ac.uk
689a73f6-4e42-48a8-b6dc-e6b02a97160c;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Birmingham City University;bcu.ac.uk
adf3d0d5-34b7-4153-b908-a4079e4a81f9;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Birmingham Newman University;newman.ac.uk,staff.newman.ac.uk
a46f0632-e148-4c88-904c-2bb0c172a6d3;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Bournemouth University;bournemouth.ac.uk
33d664f2-3ad2-4ccf-9cfc-00cb40654bab;e201a90e-840b-4555-8cd3-c50aa8d9b19f;BPP University;bpp.com
4888f40e-5558-4e7f-9934-355ea77d94e9;e201a90e-840b-4555-8cd3-c50aa8d9b19f;British and Irish Modern Music Institute (BIMM);bimm.co.uk,bimm.ie,bimm.ac.uk,metfilm.ac.uk,screenfilmschool.ac.uk,performerscollege.co.uk
90ce6424-4c3b-4842-b329-4735ebf5616b;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Brunel University London;brunel.ac.uk
e97c970a-1803-4831-aeaf-77d7925b1646;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Buckinghamshire New University;bucks.ac.uk
3a681e07-6213-4d2b-bd2f-a759c9d9095a;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Canterbury Christ Church University;canterbury.ac.uk
72f8a185-b3b5-48df-8746-eda2d64b0163;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Cardiff Metropolitan University;cardiffmet.ac.uk
8d3e47f7-8c6c-4b92-8b36-4bba27320dc6;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Cardiff University;cardiff.ac.uk
057153eb-8237-4de2-ae2f-8d054c4f8f8e;e201a90e-840b-4555-8cd3-c50aa8d9b19f;City St George’s, University of London;city.ac.uk,citystgeorges.ac.uk,sgul.ac.uk,sgul.kingston.ac.uk
228e3c0a-b8b3-40b5-bb63-965642949615;e201a90e-840b-4555-8cd3-c50aa8d9b19f;De Montfort University;dmu.ac.uk
b9cca635-df91-4537-b850-91b5a9f34e32;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Dublin City University;dcu.ie
2a11806d-2832-4dac-979e-d330fdfc1603;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Durham University;durham.ac.uk
4fca7735-5c6b-4b4f-bd6e-ea32af177bf1;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Edge Hill University;edgehill.ac.uk
31b9eac7-9c10-4dab-9d17-d15130d1b2fb;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Edinburgh Napier University;napier.ac.uk
accad435-2046-4056-ac55-1d52946470fb;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Falmouth University;falmouth.ac.uk
e5fad8cf-e79a-4740-b3d6-a673d04cc1e6;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Glasgow Caledonian University;gcu.ac.uk,gcal.ac.uk
e0824a7a-70cc-4174-9904-878cd4099527;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Global Banking School;globalbanking.ac.uk
de9e1fa2-e6e7-482d-83c7-971619366788;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Goldsmiths, University of London;gold.ac.uk
eafb03b5-423f-4ac6-8131-45d2fc7575a3;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Harper Adams University;harper-adams.ac.uk
6ec91ccc-a5b6-4b7b-b77f-0bfe957d5a9a;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Hartpury University;hartpury.ac.uk
d8013b88-17f6-4a8c-88b1-3d243742f746;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Heriot-Watt University;hw.ac.uk
5dd87421-48fb-4cdc-8ff4-a26d190f7311;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Imperial College London;imperial.ac.uk
326acdf6-d7bd-48f4-bd95-d451c6673c64;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Istituto Marangoni;istitutomarangoni.com
36a31197-3267-45ee-a61a-00d8cd111560;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Keele University;keele.ac.uk
761f907f-3ba7-4a4c-b3d8-d442969d8662;e201a90e-840b-4555-8cd3-c50aa8d9b19f;King's College London;kcl.ac.uk
117f4fbc-3ae5-4421-b52c-bd9273779e42;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Kingston University;kingston.ac.uk,sgul.kingston.ac.uk,sgul.ac.uk
b3343337-27b8-40b0-a7b2-9fbb1ad28d6b;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Lancaster University;lancaster.ac.uk,lancaster.edu.gh,ua92.ac.uk
36eb121c-09c9-44b9-ad9a-281bfd49817f;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Leeds Beckett University;leedsbeckett.ac.uk
bce1eb26-1c5e-4602-ace8-7e844f0fde0b;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Leeds Trinity University;leedstrinity.ac.uk
5d2b340a-28ff-46ab-af71-7bde1a40d1bd;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Lincoln Bishop University;bishopg.ac.uk
8fc4e3b5-9ae0-414f-bba7-7d80f5515a7c;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Liverpool Hope University;hope.ac.uk
5b53aded-6ba3-42d6-91bc-b946addb90a7;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Liverpool John Moores University;ljmu.ac.uk
b091bd6f-05a9-4d68-8fff-13254795bb80;e201a90e-840b-4555-8cd3-c50aa8d9b19f;London College of Contemporary Arts;lcca.ac.uk
2d0cb80e-e4d5-4e91-9a22-09af5d279665;e201a90e-840b-4555-8cd3-c50aa8d9b19f;London Metropolitan University;londonmet.ac.uk
a997be90-c972-4179-8cd5-9d28b6e02646;e201a90e-840b-4555-8cd3-c50aa8d9b19f;London School of Economics and Political Science;lse.ac.uk
a1c94dce-ba00-4595-af08-d8d32f60efbf;e201a90e-840b-4555-8cd3-c50aa8d9b19f;London School of Management Education;lsme.ac.uk
3e207180-3ce8-490d-9eb8-d2f8a3231931;e201a90e-840b-4555-8cd3-c50aa8d9b19f;London South Bank University;lsbu.ac.uk
155e53a2-d619-475b-9e7e-73db64f7f883;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Loughborough University;lboro.ac.uk
c9b2f385-4ffb-4aa2-8a0e-672892c4c97a;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Manchester Metropolitan University;mmu.ac.uk,ad.mmu.ac.uk
67d8438b-56c0-4e35-95cc-a0190553825d;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Maynooth University;nuim.ie,mu.ie
34b4b385-52fb-4d37-ab8c-477b2e16e559;e201a90e-840b-4555-8cd3-c50aa8d9b19f;Mohamed Bin Zayed University of Artificial Intelligence;mbzuai.ac.ae
