"Excel row","Organisation","Department","Duplicate of row","Department UUID","Organisation UUID","Outcome","Changed fields","Blank fields preserved","address_line_1","address_line2","address_line_3","address_town_city","address_county","address_post_code","phone_number"
"2","Alder Hey Children's Hospital","Nuclear Medicine Stand Alone","","9671c845-e570-45fb-ae37-9e505d9769bb","9913f2a9-ff35-4e64-9c7e-78101e349c74","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Eaton Road","","","Liverpool","Merseyside","L12 2AP",""
"3","Alliance Medical Portsmouth PET-CT Centre","PET Centre","","2c1993ce-80a4-4e64-b337-546e3257768e","f4939226-4ee9-42d3-8722-4376fbea6514","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Southwick Hill Road","","","Portsmouth","Hampshire","PO6 3LY",""
"4","Altnagelvin Area Hospital","Radiopharmacy","","7e2f6621-2e6f-4c00-85f8-2b441c973d86","96990ff0-fc1f-4ce7-bc40-7c7268616ef9","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Glenshane Road","","","Londonderry","","BT47 6SB",""
"5","Altnagelvin Area Hospital","Radiology based Nuclear Medicine","","8eb093e1-4fb1-4ec9-aad2-83a2af2b2eab","96990ff0-fc1f-4ce7-bc40-7c7268616ef9","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Glenshane Road","","","Londonderry","","BT47 6SB",""
"6","Antrim Area Hospital","Nuclear Medicine Stand Alone","","8cfe8251-8586-48d4-8a34-212031de56f3","48aca279-1946-4ca2-8891-26fc7ee93576","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","45 Bush Road","","","Antrim","","BT41 2RL",""
"7","Barnet Hospital","Radiology based Nuclear Medicine","","a513d727-8d6c-4a5d-ae6a-a094ed71ba2d","e5d90e63-b748-40d8-90ba-2c63f8da9920","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Wellhouse Lane","","","Barnet","Hertfordshire","EN5 3DJ",""
"8","Barnsley Hospital","Nuclear Medicine Stand Alone","","22224ec1-b0c9-4e0e-ba6d-a6da4970a59f","98941bc0-726e-43f0-bac2-0693a2f4626a","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Gawber Road","","","Barnsley","South Yorkshire","S75 2EP",""
"9","Barnsley Hospital","Radiopharmacy","","c3e8c658-b0f0-4119-b8da-b6df04de48fb","98941bc0-726e-43f0-bac2-0693a2f4626a","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Gawber Road","","","Barnsley","South Yorkshire","S75 2EP",""
"10","Basildon University Hospital","Radiology based Nuclear Medicine","","41c4ff5b-e589-4916-93d9-9c288b815470","c3aee66a-3b05-4ff4-b6cd-3d6819243e92","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Nethermayne","","","Basildon","Essex","SS16 5NL",""
"11","Basingstoke and North Hampshire Hospital","Nuclear Medicine Stand Alone","","5d9091b1-32b1-4135-a2a0-b2e97fc43ad2","6a3a810b-22c9-4a82-9afa-011e4c64e356","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Aldermaston Road","","","Basingstoke","Hampshire","RG24 9NA",""
