"Excel rows","Organisation","Organisation UUID","Department","Department UUID","Record created","Member links","Equipment links","Candidate notes"
"115, 117","Midland Metropolitan University Hospital","9c6835b0-c3be-4aa9-bbba-c8408eea6ab2","Radiology based Nuclear Medicine","197b6854-fdc8-4ea0-b78d-e61d346bd1fc","2026-08-27T14:41:37.38995+00:00","1","8","Original 27 August record — proposed for confirmation"
"115, 117","Midland Metropolitan University Hospital","9c6835b0-c3be-4aa9-bbba-c8408eea6ab2","Radiology based Nuclear Medicine","78815a75-a597-42ea-94d8-dd0c6c3d281e","2026-09-04T08:39:33.62263+00:00","1","0","Later duplicate — would remain unchanged"
"209, 210","Royal United Hospital","e6840819-4d9f-41c8-b2e4-189de51f8e68","Nuclear Medicine - Physics based","cf7e7f81-3fb3-42bd-9872-1065e426c6a1","2026-09-04T08:42:15.317356+00:00","1","0","Later duplicate — would remain unchanged"
"209, 210","Royal United Hospital","e6840819-4d9f-41c8-b2e4-189de51f8e68","Nuclear Medicine - Physics based","e2633069-3409-4146-b28c-148263acb7b3","2026-08-27T14:42:17.76816+00:00","1","16","Original 27 August record — proposed for confirmation"
"217, 218","Scarborough Hospital","17b1300a-e17a-41a7-bd87-c9b53deedb32","Nuclear Medicine Stand Alone","31eed8be-ad30-426b-9771-dde17af3495f","2026-09-04T08:43:02.165543+00:00","1","0","Later duplicate — would remain unchanged"
"217, 218","Scarborough Hospital","17b1300a-e17a-41a7-bd87-c9b53deedb32","Nuclear Medicine Stand Alone","ad731b3d-c4bb-4f21-a58d-9ef85800a3ff","2026-08-27T14:42:20.691708+00:00","1","1","Original 27 August record — proposed for confirmation"
"269–271","University Hospital Coventry","445febff-bffc-4c66-87b7-b8369246cd23","(no linked departments)","","2026-09-10T12:15:36.81248+00:00","","","Later duplicate Organisation"
"269–271","University Hospital Coventry","bd2b845b-a8b7-49f8-ad1b-17c466c94f2f","Nuclear Medicine Stand Alone","4cd68788-5333-45d5-ab3e-88fcea4b9293","2026-08-27T14:42:42.253616+00:00","3","8","Original 27 August record — proposed for confirmation"
"269–271","University Hospital Coventry","bd2b845b-a8b7-49f8-ad1b-17c466c94f2f","Radiopharmacy","6cab6cb9-2a26-4a1f-9292-b5112fc71e54","2026-08-27T14:42:43.113156+00:00","1","0","Original 27 August record — proposed for confirmation"
"269–271","University Hospital Coventry","bd2b845b-a8b7-49f8-ad1b-17c466c94f2f","PET Centre","ad920974-8272-435e-af15-4a1c5631c6fc","2026-08-27T14:42:42.664112+00:00","1","3","Original 27 August record — proposed for confirmation"
