submission_id,created_date,applicant_name,applicant_email,extracted_org_name,missing_reason,matched_existing_org_id,matched_existing_org_name
63b4c491-108c-400b-8f78-09ad6719af5c,2026-02-22T03:33:54.529+00:00,,,DOST EDUCATION,organization_id is NULL,,
cb3b642c-2a0a-4bfa-a973-b21a0c1d4224,2026-02-23T19:23:21.978+00:00,,,Mercy Education Support Center,organization_id is NULL,,
0e8cb51c-ec23-405a-8d6b-ff6cb88e28d5,2026-02-24T08:28:32.952+00:00,,,Parceiros da Educação,organization_id is NULL,,
89413d41-59f4-4d21-a157-ded8c16c1f71,2026-02-26T17:51:11.418+00:00,,,Matungu Community Development Charity (MCDC),organization_id is NULL,,
78b1effd-e220-46f6-ae6e-ce5a5ae66e48,2026-02-26T17:56:42.16+00:00,,,Toilets for All,organization_id is NULL,,
16929a36-02a0-44b4-aa71-4698c734a6e0,2026-02-28T10:12:36.467+00:00,,,Boltay Huroof,organization_id is NULL,,
8d455ce7-19c7-4008-8384-7e7364000eee,2026-03-01T06:29:36.224+00:00,,,Aasaman Nepal,organization_id is NULL,,
ea71e1b4-9511-486a-9814-3f8f57380c71,2026-03-02T16:41:58.155+00:00,,,Rural to Action,organization_id is NULL,,
598bf9d9-43e7-4756-9b0e-d9f8a677ade8,2026-03-02T18:11:27.949+00:00,,,Kach-up Learning Hub,organization_id is NULL,,
f8b9d93e-c5f9-4303-bd1c-fb96a1b5210f,2026-03-03T15:01:00.225+00:00,,,Social Growth And Education Aids (SOGEA-TANZANIA),organization_id is NULL,,
77b59c73-7434-451b-a211-bc6f0c3d12b4,2026-03-03T19:07:42.741+00:00,,,Phakamani Young Minds Academy,organization_id is NULL,,
d8058c80-e8d8-404b-b9fd-552483683abf,2026-03-04T14:13:23.83+00:00,,,ELIMU BORA INITIATIVE CBO,organization_id is NULL,,
884f5b92-f7b7-40f6-9da4-a8ddf492ae2c,2026-03-05T07:13:03.822+00:00,,,SECONDARY EDUCATION FOR GIRL'S ADVANCEMENT-SEGA,organization_id is NULL,,
0b764b5b-16f3-4a55-a5a0-2c4d9ef3eac7,2026-03-05T08:20:36.102+00:00,,,The Nucleus Center for Early Childhood Development,organization_id is NULL,,
2f4ca8bf-f6dd-4a9e-b0ae-9541c393ee5f,2026-03-05T08:23:43.098+00:00,,,CEEOINDIA,organization_id is NULL,,
4dc293ec-36ea-42aa-b4a0-db3e5a25bdeb,2026-03-05T08:35:01.025+00:00,,,OpenMind Publishing,organization_id is NULL,,
c1a64a4f-29eb-4662-925b-b72c131ae618,2026-03-05T09:07:52.271+00:00,,,Windle Trust International,organization_id is NULL,,
d26fbb95-a2a9-4866-83d0-87fc59cafd34,2026-03-05T21:03:58.962+00:00,,,OtherAI,organization_id is NULL,,
164c07d1-8204-4d4a-ab90-630674cbad92,2026-03-06T05:03:59.816+00:00,,,EDUCATION NETWORK,organization_id is NULL,,
264160cc-7bd1-4c89-92ef-426f5582243d,2026-03-06T07:19:58.74+00:00,,,Madad Foundation,organization_id is NULL,,
e7fb026f-9a24-4909-a9f4-6a6eac3910de,2026-03-06T12:16:21.089+00:00,,,TaRL Africa,organization_id is NULL,,
7655948c-e149-42e5-9f9d-8d9d712110d6,2026-03-06T19:37:55.902+00:00,,,Safe Society,organization_id is NULL,,
541fae72-0362-4402-8e45-17d6cbc0f40c,2026-03-08T03:47:15.631+00:00,,,Ssaku Senior Secondary School,organization_id is NULL,,
3c60d529-dcc6-41dc-8062-5c3421c45f6e,2026-03-09T05:48:36.517+00:00,,,Azahir,organization_id is NULL,,
ca41b925-f377-4a2f-8375-d5d19d3d9f75,2026-03-09T08:54:48.41+00:00,,,ABC,organization_id is NULL,,
